Real Formula,Prediction Formula
f ( x ) = 0,f ( x ) = 0 
\text { c a },c 
"m , n","m , n "
\frac { \pi } { 6 },\frac { \pi } { 6 } 
"a ( 2 , 0 )","a ( 2 , 0 ) "
\alpha \perp \beta,\alpha \perp \beta 
a _ { 1 },a _ { 1 } 
"( 1 , 3 )","( 1 , 3 ) "
\lambda \in \mathbf { r },\lambda \in \mathbf { r } 
\text { : c m },: m c 
a / / b,a / / b 
\triangle a b c,\triangle a b c 
x _ { 1 } <,x _ { 1 } < 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
y > 0,0 > 0 
d - a b c,\text { d } a d c 
c _ { 1 },c _ { 1 } 
\frac { \sqrt { 3 } } { 2 },\frac { \sqrt { 3 } } 2 
a _ { 1 } f,a _ { 1 } 
a _ { 2 } - 1,a _ { 2 } - 1 
\alpha,\alpha 
a ^ { 2 } = b c,a ^ { 2 } = b 
9 0 ^ { \circ },9 0 ^ { \circ } 
a b,\text { a i } 
"a ( 0 , - 1 ) , b","a d , - 1 , p "
\omega ( x ),\text { a s ) 
a b / / i ) c,a b / / r c 
f ( x ),f ( x ) 
f ( x ),f ( x ) 
- 4,- 4 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
1 8 \pi,1 8 \pi 
x _ { n } \geqslant 1,x _ { 0 } \geqslant 1 
l : y = x,l : y = x 
\frac { 9 } { 2 },\frac { 9 } { 2 } 
| a - b |,| a - b | 
x _ { 0 } ^ { 2 },x ^ { 2 } 
p - a b c d,p - a b c d 
\beta \cap \gamma = m,\beta \cap f = m 
"( t , f ( t ) )",( t ) f ( t ) 
a > 0,a > 0 
l : y = 3 x + 3,v : v = 3 + 3 y + 
"b ( 2 , 1 )","b ( 2 , 1 ) "
c < 0,e < 0 
m : x - a y + 3 = 0,\sin x - y - m = 0 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\forall x \in \mathbf { r },\forall x \in \mathbf { r } 
s _ { n },s _ { n } 
\tan \alpha,\tan \alpha 
y = \sin x,y = \sin x 
"\{ - 1 , 5 \}","\{ - 1 , 5 \} "
\text { d . i },\text { i ) . } 1 i 
a > 0,a > 0 
\bar { z },\bar { z } 
s _ { 5 },s _ { 5 } 
b d \perp,\text { b i ) \perp 
p a \perp,p \lambda \perp 
n \in \mathbf { n } ^ { * },n \in \mathbf { n } ^ { * } 
\sqrt { 2 },\sqrt { 2 } 
\frac { \pi } { 3 },\frac { \pi } { 3 } 
a b / / d c,a b / / b 
x > a _ { 0 },x > a _ { 0 } > a _ { 0 }
l,l 
2 \ln x,2 \mathrm { ~ m } x 
\triangle a b c,\triangle a b c 
m d \perp c d,m d \perp c d 
f ( x ),f ( x ) 
"( - 1 , 1 ]","( - 1 , 1 ] "
\sqrt { 1 + x },4 x + \sqrt { x } 
d _ { 1 } b,d _ { 1 } b 
a _ { 1 },a _ { 1 } 
f _ { 3 },f _ { 5 } 
f ( x ),f ( x ) 
"x \in [ 1 , 2 ]","x \in [ 1 , 2 ] "
| a b | = 2 \sqrt { 5 },| \lambda b | = \sqrt { 3 } 
\frac { 3 } { 4 },\frac { 3 } { 4 } 
\sin \theta ) = 4,\sin \theta ) = 4 
f ( x ),f ( x ) 
\triangle c d f,\triangle c d f 
g ( x ),g ( x ) 
y = 2 x - 3,y = 2 x - 3 
s _ { n },s _ { n } 
f ( x ),f ( x ) 
b =,b = 
"[ 6 , + \infty )","[ 6 , + \infty ) "
"x \in ( - 1 , 1 ]","x \in ( - 1 , 1 ] "
b \},b \} 
"[ 9 4 , 9 8 )","[ 9 8 , 8 ) "
p d = a d = b d = 2,"a d = a d , = 2 "
\text { b . ? },\text { b . } 3 
a \cup b = \mathbf { r },a \cup b = \mathbf { r } 
y ^ { 2 } =,y ^ { 2 } = 
"[ 0 , t ]","[ 0 , 0 ] "
\frac { 2 \pi } { 3 },\frac { 2 \pi } { 3 } 
\alpha - \beta,\alpha - \beta 
"( 0 , 1 )","( 0 , 1 ) "
n = 1 9,d = 1 9 
a _ { 8 },a _ { 9 } 
z ^ { 2 0 1 9 } =,z ^ { 0 1 } = 
"( 2 , 3 )","( 2 , 3 ) "
a _ { 3 },a _ { 3 } 
n \perp \alpha,n \perp \alpha 
\frac { 5 \pi } { 1 2 },\frac { 5 \pi } { 1 2 } 
\triangle a b c,\triangle a b c 
p ( ) = ( ) b = 1,d 0 = ( ) b = 1 
y = \sqrt { 3 } x + b,y = \sqrt { 3 } x + b 
| a b | = \sqrt { 1 0 },| a b | = 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
"x \in [ 0 , \pi ]","x \in [ 0 , \pi ] "
d ( \xi ),( b ) 
a o \perp,a c \perp 
\sin \alpha + \cos \beta = 1,\sin \alpha + \cos \theta = 1 
\frac { 5 } { 6 },\frac { 5 } { 6 } 
a < b < c,a > b > c 
- 1 - i,- 1 - i 
\text { a . } 2 5,\text { a . } 2 
"( 1 , 3 )","( 1 , 3 ) "
\frac { 3 } { 2 },\frac { 3 } { 2 } 
"( - 1 , + \infty )","( - 1 , + \infty ) "
\triangle a b c,\triangle a b c 
f _ { 1 },f _ { 1 } 
m \cap i,\text { m } 
a _ { 1 },a _ { 1 } 
"[ 1 4 , 1 5 )","1 + 1 , 5 ) "
a _ { k },a _ { n } 
y = f ( x ),y = f ( x ) 
x \geqslant 0,x \geqslant 0 
a _ { n },a _ { n } 
b,b = c 
s _ { n } < 0,s _ { n } < 0 
a + b = m,a + b = m 
\sin 2 \alpha,\sin 2 \alpha 
\xi _ { 1 },\xi 
"\{ - 1 , 2 , 3 \}","\{ - 1 , 2 , 3 \} "
f ( x ) \geqslant 0,f ( x ) > 0 
\mathbf { f } ( \mathbf { x } ),x ) 
x + 1 -,x + 1 
"x , y","x , y "
"[ 8 0 , 1 0 0 )","[ 9 0 , 1 0 ] "
\sqrt { 7 },\sqrt { 7 } 
2 a - b,2 a - b 
\overline { a b } =,\overrightarrow { a b } = 
\tan \beta =,= 3 a b = 
a b =,a b = 
x = \frac { \pi } { 1 2 },x = \frac { \pi } { 1 2 } 
\sqrt { 3 },\sqrt { 3 } 
b = \frac { 1 } { n },x = \frac { 1 } { n } 
s a = s b = 2,p a = b = 2 
f ^ { \prime } ( x ),f ^ { \prime } ( x ) 
x - 2 y \geqslant 2,x - y \geqslant 2 
a \neq 1,a \neq 1 
\frac { 5 \pi } { 6 },\frac { 5 \pi } { 6 } 
\omega =,\omega = 
0 ),\text { 0 ) } 
"n \left( \mu , \sigma ^ { 2 } \right)","n \left( \mu , \sigma ^ { 2 } \right) "
\left\{ a _ { n } \right.,\left\{ a _ { n } \right\} 
\triangle a b c,\triangle a b c 
"\{ - 2 , 0 \}",- \frac { 1 } \right) 
e ^ { - 2 },e ^ { 2 } 
b > 0 ),b > 0 ) 
m + n =,m + n = 
2 ^ { | x | },2 ^ { 1 } 
e = 2 . 7 1 8 2 8 \cdots,c = 2 . 7 1 8 \cdots 
a =,a = 
a b c d,a b c d 
p e = 2 \sqrt { 3 },p f = 2 \sqrt { 3 } 
\frac { 6 } { 1 6 3 },\frac { 6 } { 6 0 } 
+ 3 x,+ 3 x 
a d _ { 1 },a d _ { 1 } 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
2 a - 1 > 0,2 t - 1 0 
\frac { 1 } { 2 },\frac { 1 } { 2 } 
e f / /,e f / / 
f ( 1 ) = 2,f ( 1 ) = 2 
\left\{ a _ { n } \right\},\left. a _ { n } \right\} 
\mu + 3 \sigma ),a + 3 0 ) 
"( - \infty , - 3 ]","( - \infty , "
"m \in ( 0 , + \infty )","m \in ( 1 , + \infty ) "
\frac { 5 } { 2 },\frac { 5 } { 2 } 
z _ { 1 },z _ { 1 } 
\triangle a b c,\triangle a b c 
f ( x ) - g ( x ),f ( x ) - g ( x ) 
x \geqslant 1,x \geqslant 1 
\triangle a b c,\triangle a b c 
| x | + | y | = 2,x + a | x | - 2 
"a ( - 1 , 1 )","a ( - 1 , 1 ) "
"[ 0 , 1 ]","[ 0 , 1 ] "
n = a + b + c + d,n = a + b + c b 
= 0 . 3 ^ { 0 . 4 },= 3 ^ { 0 } 
p \neq q,p \neq 0 
\text { ( ) },\text { ( x ) } 
f ( x ),f ( x ) 
"a \cap \alpha = p , b \subset \alpha",a c = p = p c 
c _ { 1 },c _ { 1 } 
= 9 0 ^ { \circ },= 8 0 ^ { \circ } 
6 0 ^ { \circ },6 0 ^ { \circ } 
b _ { n },b _ { 1 } 
\triangle a b c,\triangle a b c 
a b c d,a b c d 
\frac { \pi } { 3 },\left. \frac { \pi } { 3 } 
f ( x ),f ( x ) 
a + b + c = 1,a + b y = 1 
x \geqslant 1,x \geqslant 1 
o o _ { 1 },a o _ { 1 } 
x = 2,x = 2 
\alpha - \beta,\alpha - \beta 
s _ { n },s _ { n } 
\mathrm { r t } \triangle a b c,\text { b . } \triangle a b c 
- \pi,- \pi 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
b d = \sqrt { 3 } - 1,b d = \sqrt { 3 } - 1 
c _ { 1 },c _ { 1 } 
"\text { c . } ( 0 , 1 )","\text { c . } ( 0 , 1 ) "
\frac { 1 } { . 7 9 },\frac { 1 } { 4 } 4 
9 0 \pi,6 0 \pi 
a _ { 2 },a _ { 2 } 
n \subset \alpha,m \subset \alpha 
\frac { \sqrt { 2 } } { 3 },\frac { \sqrt { 2 } } 3 
y = k x + a,y = k x + a 
a = - \frac { e } { 2 },a = - \frac { 5 } { 2 } 
y ^ { 2 } = 8 x,y ^ { 2 } = 8 x 
g ( 3 ) = 8 + a,g ( 3 ) = 8 ) + c 
c =,\text { c } = 
x \in \mathbf { r },x \in \mathbf { r } 
\triangle a b c,\triangle a b c 
f ( 2 0 0 9 ),f ( 2 0 0 ) 
a _ { 3 },a _ { 3 } 
x - 2 y - 3 = 0,x - 2 y - 3 = 0 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\triangle p a b,\triangle p a b 
p f \perp x,p f \perp x 
\frac { 5 } { 2 },\frac { 5 } { 2 } 
\triangle a b c,\triangle a b c 
t _ { 2 },t _ { 2 } 
a _ { 2 k - 1 } = 1,a _ { 1 } = - 
a b c d,a b c d 
s _ { n },s _ { n } 
a _ { 1 0 } > 1 0,a _ { 0 } > 1 0 
y = 4 x ^ { 2 },y = 4 x ^ { 2 } 
| p q |,| p q ] 
f ( x ),f ( x ) 
x = 3,x = 3 
l : x = 4,d : x = 4 
a + n < b + n,1 + b < a + d 
"f _ { 2 } ( 6 , 0 )","f _ { 2 } , 0 ) "
\text { d . } 2,\text { i ) . } 2 
a _ { 0 },a _ { 0 } 
b = 2,d = 2 
\sqrt { 2 },\sqrt { 2 } 
- \frac { 1 } { 3 },- \frac { 1 } { 3 } 
p,p 
x = y,x = y 
f ( x ),f ( x ) 
"[ 1 , 4 ]","[ 1 , 4 ] "
y = f ( x ),y = f ( x ) 
f ( x ) = t,f ( x ) = t 
\left\{ c _ { n } \right\},\left\{ c _ { n } \right\} 
h ( x ),h ( x ) 
f _ { 2 },f _ { 2 } 
x \in \mathbf { r },x \in \mathbf { r } 
s b \perp s e,\text { b . } 1 . 3 5 e 
2 \sqrt { 5 },2 \sqrt { 5 } 
a _ { 5 } = - 7,a _ { 5 } = - 7 
\triangle a b c,\triangle a b c 
g ( 0 ) = 0,g ( 0 ) = 0 
a b > c ^ { 2 },a b ^ { 2 } 
\rho = 2,\mathrm { e } 
\sin c,\sin c 
\sqrt { 5 } - 1,\sqrt { 5 } - 1 
"( 0 , \pi )","( 0 , \pi ) "
b < a < c,b < a < c 
p =,p = 
"i = 1 , 2 , \cdots","i = 1 , 2 , \cdots "
| o p | + | a p |,| o p | + a p 
\text { i ) e / / },d f / / 
"( 0 , 1 )","( 0 , 1 ) "
f ( x ),f ( x ) 
"[ 0 , 1 ]","[ 0 , 1 ] "
\sin \alpha,\text { = 1 1 ? 
\frac { 2 } { 3 },\frac { 2 } { 3 } 
\frac { 1 } { 5 },\frac { 1 } { 5 } 
"( 2 , 3 )","( 2 , 3 ) "
a _ { 1 } c _ { 1 },a _ { 1 } c 
\delta a b c,\triangle a b c 
"( 0 , 1 ]","( 0 , 1 ] "
f _ { 2 },f _ { 2 } 
+ 2 \l g a _ { n },+ \varphi 
x < 0,x < 0 
a . b,a . b 
"[ - \pi , \pi ]","[ - \pi , \pi ] "
f ( x ) = \sin ( 2 x -,f ( x ) = x \cdot ( - 
y \geqslant y ^ { \prime },y \geqslant y 
n > 0,n > 0 
"c ( 3 , 0 )","c ( 3 , 0 ) "
( a \in \mathbf { r } ),( a \in \mathbf { r } ) 
\alpha + \beta = 1,\alpha + \beta = 1 
\frac { 1 } { 4 },\frac { 1 } { 4 } 
"a , b","a , b "
"( 0 , + \infty )","( 0 , + \infty ) "
\sqrt { 2 },\sqrt { 2 } 
2 a - b,2 a - b 
f ^ { \prime } ( x ) < 0,f ^ { \prime } ( x ) < 0 
\pi,\pi 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
f ( - 1 ) = 0,f ( k = 0 
y > 0,y > 0 
f ^ { \prime } ( x ),f ^ { \prime } ( x ) 
"( - 1 , 0 )","( - 1 , 0 ) "
1 - i,- 1 
a b \in s,a b \in s 
"[ 2 , + \infty )","[ 2 , + \infty ) "
\frac { \sqrt { 3 } } { 4 },\frac { \sqrt { 3 } } 4 
2 ^ { 1 },2 ^ { 1 } 
k = 2 i - 1,k = 2 \sqrt { 1 } 
\{ 2 \},\{ 2 \} 
\triangle a b c,\triangle a b c 
c _ { 2 },c _ { 2 } 
\perp a b,\perp a b 
"x , y","x , y "
"( 1 , + \infty )","( 1 , + \infty ) "
"b b , e d",b b 
"\{ 0 , 4 \}","\{ 0 , 4 \} "
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
