str1,str2
f(x),f(x)
A C=13,A C=4
\beta,A B C=2
f(x+,y)
2 \pi,T_{n}
506 \pi,60 \sim 65
"\{1,2,3\}",\left\{a_{n}\right\}
C_{1},\frac{16}{3}
F_{1} C,\triangle B C
A C,A D_{1}
\overrightarrow{A F}=,y=x
"[-2,4]",\left\{a_{n}\right\}
-3,S_{5}
y=\sin x,\ln |x-y|<0
"(4,+\infty)","(-\infty, a)"
a b<0<a+b,\ln |x-y|<0
(a>b>0),"(-\infty, a)"
I 3=,e=\frac{2}{3}
\text { (I) },"(-\infty, a)"
a>1,"\{2, a_{1}"
S_{1},\frac{16}{3}
\frac{1}{4},\frac{\pi}{3}
"C(2,0)","(-\infty, a)"
i=i+1,\boldsymbol{F}_{1}
F_{2},a_{i}=
C_{1} H \perp,(x)
"\alpha, \beta \in",60 \sim 65
b=2,(\rho \geqslant 0)
\frac{1}{6},\boldsymbol{e}_{1}
x>0,\ln |x-
2 m-k,\ln |x-y|<0
f(x)=b,A C=4
B_{n},\sqrt{3}
A B,T_{n}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\sin \theta \neq 0,60 \sim 65
(m>0),"(-\infty, a)"
f(x-,y=f(x)
"t \in(1,7)","(-\infty, a)"
A E / /,m / / n
a>1,S_{5}
\frac{3}{5},\frac{16}{3}
P A C,(\rho \geqslant 0)
"(2, \sqrt{2})","(-\infty, a)"
y=g(x),60 \sim 65
3 \pi a^{2},\left\{a_{n}\right\}
a>0,\triangle B C
"B(0,-1)",A C=4
\triangle A B C,\triangle A B C
h(x),f(x)
m / / l,m / / n
M F,A C=4
A C=1,A C=4
s=k,\boldsymbol{F}_{1}
C_{2},"(-\infty, a)"
A C=4,c<\frac{4}{4}
A D=2 D B,\ln |x-y|<0
\tan 5^{\circ},\ln |x-y|<0
\sqrt[3]{2},\sqrt{3}+1
"(-3,1)","(0, a)"
a>0,>0
\left\{a_{n}\right\},\left\{a_{n}\right\}
\omega,\left\{a_{n}\right\}
"(4,+\infty)",\left\{a_{n}\right\}
2 \sqrt{3},T_{n}
\sqrt{5},\sqrt{3}
\left\{n a_{n}\right\},\left\{a_{n}\right\}
"A, C",(\rho \geqslant 0)
\frac{b}{a},\frac{16}{3}
"(-\infty, \ln a)",\ln |x-y|<0
\{x \mid x<2\},\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
x^{3},T_{n}
"\{-3,-1,3\}",\left\{a_{n}\right\}
\left.a_{n}\right\},\left\{a_{n}\right\}
f(x),(x)
\pi,\boldsymbol{e}_{1}
f(x),f(x)
i=1,\boldsymbol{F}_{1}
P-A B C D,\ln |x-y|<0
P-A B C,\sqrt{3}+1
d_{2},\left\{a_{n}\right\}
\cos \alpha,\ln |x-y|<0
"[-1,1]","\{2,3,4\}"
2 s-1,c<\frac{1}{4}
"(0,1)","(0,1)"
y=a+b x,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
x-y,\left\{a_{n}\right\}
O M \perp O N,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
x=\frac{\pi}{3},-\frac{\pi}{6}
g(x)>0,60 \sim 65
x_{n},-\frac{3}{2}
"[m, n]",A C=4
t \neq 0,"(0,1)"
S(a),f(x)
"[90,94)","(-\infty, a)"
B_{1} c,(x)
